Severity	Code	Description	Project	File	Line	Suppression State
Warning (active)	CS8767	Nullability of reference types in type of parameter 'parameter' of 'object InvertedBoolConverter.ConvertBack(object value, Type targetType, object parameter, CultureInfo culture)' doesn't match implicitly implemented member 'object? IValueConverter.ConvertBack(object? value, Type targetType, object? parameter, CultureInfo culture)' (possibly because of nullability attributes).	TouchMacro (net8.0-android), TouchMacro (net8.0-ios), TouchMacro (net8.0-maccatalyst), TouchMacro (net8.0-windows10.0.19041.0)	D:\Development\TouchMacro\Converters\InvertedBoolConverter.cs	21	
Warning (active)	CS8618	Non-nullable property 'Name' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	TouchMacro (net8.0-android), TouchMacro (net8.0-ios), TouchMacro (net8.0-maccatalyst), TouchMacro (net8.0-windows10.0.19041.0)	D:\Development\TouchMacro\Models\Macro.cs	19	
Warning (active)	CS8603	Possible null reference return.	TouchMacro (net8.0-android), TouchMacro (net8.0-ios), TouchMacro (net8.0-maccatalyst), TouchMacro (net8.0-windows10.0.19041.0)	D:\Development\TouchMacro\Services\DatabaseService.cs	71	
Warning (active)	CS8618	Non-nullable field '_cts' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	TouchMacro (net8.0-android), TouchMacro (net8.0-ios), TouchMacro (net8.0-maccatalyst), TouchMacro (net8.0-windows10.0.19041.0)	D:\Development\TouchMacro\Services\MacroPlayerService.cs	19	
Warning (active)	CS8618	Non-nullable event 'OnTapRequested' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the event as nullable.	TouchMacro (net8.0-android), TouchMacro (net8.0-ios), TouchMacro (net8.0-maccatalyst), TouchMacro (net8.0-windows10.0.19041.0)	D:\Development\TouchMacro\Services\MacroPlayerService.cs	19	
Warning (active)	CS8618	Non-nullable event 'PlaybackStarted' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the event as nullable.	TouchMacro (net8.0-android), TouchMacro (net8.0-ios), TouchMacro (net8.0-maccatalyst), TouchMacro (net8.0-windows10.0.19041.0)	D:\Development\TouchMacro\Services\MacroPlayerService.cs	19	
Warning (active)	CS8618	Non-nullable event 'PlaybackStopped' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the event as nullable.	TouchMacro (net8.0-android), TouchMacro (net8.0-ios), TouchMacro (net8.0-maccatalyst), TouchMacro (net8.0-windows10.0.19041.0)	D:\Development\TouchMacro\Services\MacroPlayerService.cs	19	
Warning (active)	CS8612	Nullability of reference types in type of 'event PropertyChangedEventHandler BaseViewModel.PropertyChanged' doesn't match implicitly implemented member 'event PropertyChangedEventHandler? INotifyPropertyChanged.PropertyChanged'.	TouchMacro (net8.0-android), TouchMacro (net8.0-ios), TouchMacro (net8.0-maccatalyst), TouchMacro (net8.0-windows10.0.19041.0)	D:\Development\TouchMacro\ViewModels\BaseViewModel.cs	13	
Warning (active)	CS8618	Non-nullable event 'PropertyChanged' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the event as nullable.	TouchMacro (net8.0-android), TouchMacro (net8.0-ios), TouchMacro (net8.0-maccatalyst), TouchMacro (net8.0-windows10.0.19041.0)	D:\Development\TouchMacro\ViewModels\BaseViewModel.cs	13	
Warning (active)	CS8625	Cannot convert null literal to non-nullable reference type.	TouchMacro (net8.0-android), TouchMacro (net8.0-ios), TouchMacro (net8.0-maccatalyst), TouchMacro (net8.0-windows10.0.19041.0)	D:\Development\TouchMacro\ViewModels\BaseViewModel.cs	15	
Warning (active)	CS8625	Cannot convert null literal to non-nullable reference type.	TouchMacro (net8.0-android), TouchMacro (net8.0-ios), TouchMacro (net8.0-maccatalyst), TouchMacro (net8.0-windows10.0.19041.0)	D:\Development\TouchMacro\ViewModels\BaseViewModel.cs	27	
Warning (active)	CS1998	This async method lacks 'await' operators and will run synchronously. Consider using the 'await' operator to await non-blocking API calls, or 'await Task.Run(...)' to do CPU-bound work on a background thread.	TouchMacro (net8.0-ios), TouchMacro (net8.0-maccatalyst), TouchMacro (net8.0-windows10.0.19041.0)	D:\Development\TouchMacro\Services\PermissionService.cs	23	
Warning (active)	CS1998	This async method lacks 'await' operators and will run synchronously. Consider using the 'await' operator to await non-blocking API calls, or 'await Task.Run(...)' to do CPU-bound work on a background thread.	TouchMacro (net8.0-ios), TouchMacro (net8.0-maccatalyst), TouchMacro (net8.0-windows10.0.19041.0)	D:\Development\TouchMacro\Services\PermissionService.cs	36	
Warning (active)	CS1998	This async method lacks 'await' operators and will run synchronously. Consider using the 'await' operator to await non-blocking API calls, or 'await Task.Run(...)' to do CPU-bound work on a background thread.	TouchMacro (net8.0-ios), TouchMacro (net8.0-maccatalyst), TouchMacro (net8.0-windows10.0.19041.0)	D:\Development\TouchMacro\Services\PermissionService.cs	48	
Warning (active)	CS1998	This async method lacks 'await' operators and will run synchronously. Consider using the 'await' operator to await non-blocking API calls, or 'await Task.Run(...)' to do CPU-bound work on a background thread.	TouchMacro (net8.0-ios), TouchMacro (net8.0-maccatalyst), TouchMacro (net8.0-windows10.0.19041.0)	D:\Development\TouchMacro\Services\PermissionService.cs	61	
